rd_zh,rd_en
三誠路一橫巷,"1ST SIDE LN., SANCHENG RD."
三農場,3TH FARM
三部路,SANBU RD.
三寧街,SANNING ST.
三榮一路,SANRONG 1ST RD.
三榮二路,SANRONG 2ND RD.
三榮三路,SANRONG 3RD RD.
三榮五路,SANRONG 5TH RD.
三榮六路,SANRONG 6TH RD.
三榮七路,SANRONG 7TH RD.
三榮八路,SANRONG 8TH RD.
三榮九路,SANRONG 9TH RD.
三榮十路,SANRONG 10TH RD.
三榮十一路,SANRONG 11TH RD.
三榮十二路,SANRONG 12TH RD.
三榮十三路,SANRONG 13TH RD.
三榮十五路,SANRONG 15TH RD.
三榮十六路,SANRONG 16TH RD.
三榮十七路,SANRONG 17TH RD.
三榮十八路,SANRONG 18TH RD.
三榮北一路,SANRONG N. 1ST RD.
三榮北路,SANRONG N. RD.
三榮南路,SANRONG S. RD.
三榮路一段,"SEC. 1, SANRONG RD."
三榮路二段,"SEC. 2, SANRONG RD."
三福一路,SANFU 1ST RD.
三福二路,SANFU 2ND RD.
三福街,SANFU ST.
三福路,SANFU RD.
三鳳九巷,SANFENG 9TH LN.
三鳳中街,SANFENG CENTRAL ST.
三勰路,SANXIE RD.
三寮坑,SANLIAOKENG
三寮灣,SANLIAOWAN
三層老街,SANCENGLAO ST.
三層村崎頭仔,"QITOUZAI, SANCENG VIL."
三層坪路,SANCENGPING RD.
三層巷,SANCENG LN.
三德西街,SANDE W. ST.
三德西路,SANDE W. RD.
三德街,SANDE ST.
三德路,SANDE RD.
三樂一街,SANLE 1ST ST.
三樂二街,SANLE 2ND ST.
三樂三街,SANLE 3RD ST.
三樂路,SANLE RD.
三潭巷,SANTAN LN.
三線路,SANXIAN RD.
三賢東街,SANXIAN E. ST.
三賢街,SANXIAN ST.
三樹一街,SANSHU 1ST ST.
三樹路,SANSHU RD.
三橋仔,SANQIAOZAI
三橋街,SANQIAO ST.
三興一街,SANXING 1ST ST.
三興二街,SANXING 2ND ST.
三興西路,SANXING W. RD.
三興東路,SANXING E. RD.
三興巷,SANXING LN.
三興街,SANXING ST.
三興路,SANXING RD.
三興路東勢段,"SEC. DONGSHI, SANXING RD."
三龍街,SANLONG ST.
三環路,SANHUAN RD.
三谿橋,SANQI BRIDGE
三櫃,SANGUI
三豐東路,SANFENG E. RD.
三豐路,SANFENG RD.
三豐路一段,"SEC. 1, SANFENG RD."
三豐路二段,"SEC. 2, SANFENG RD."
三豐路三段,"SEC. 3, SANFENG RD."
三豐路四段,"SEC. 4, SANFENG RD."
三豐路五段,"SEC. 5, SANFENG RD."
三鎮路,SANZHEN RD.
三寶街,SANBAO ST.
三鶯路,SANYING RD.
三權路,SANQUAN RD.
三疊溪,SANDIEXI
三灣,SANWAN
三鬮路,SANJIU RD.
下三屯,XIASANTUN
下三座屋,XIASANZUOWU
下三崙,XIASANLUN
下六股,XIALIUGU
下九寮,XIAJIULIAO
下土庫仔,XIATUKUZAI
下大山腳,XIADA SHANJIAU
下大堀,XIADAKU
下大湖,XIADAHU
下大窩,XIADAWO
下山,XIASHAN
下山腳,XIASHANJIAO
下中,XIAZHONG
下內壢,XIANEILI
下文光,XIAWENGUANG
下水底,XIASHUIDI
下雙坑,XIASHUANGKENG
下雙溪,XIASHUANGXI
下雙溪街,XIASHUANGXI ST.
下半天,XIABANTIAN
下半天農場,XIABANTIAN FARM
下市場,XIASHICHANG
下瓦路,XIAWA RD.
下田,XIATIAN
下田心子,XIATIANXINZI
下田路,XIATIAN RD.
下田寮,XIATIANLIAO
下甲路,XIAJIA RD.
下石屯,XIASHITUN
下石厝路,XIASHICUO RD.
下石頭,XIASHITOU
下石頭埔,XIASHITOUPU
下后垵,XIAHOU'AN
下圭柔山,XIAGUIROUSHAN
下宇內,XIAYUNEI
下宅子,XIAZHAIZI
下宅仔,XIAZHAIZAI
下竹圍,XIAZHUWEI
下竹圍街,XIAZHUWEI ST.
下庄,XIAZHUANG
下庄子,XIAZHUANGZI
下庄仔,XIAZHUANGZAI
下庄巷,XIAZHUANG LN.
下庄路,XIAZHUANG RD.
下坑,XIAKENG
下坑子口,XIAKENGZIKOU
下坑仔,XIAKENGZAI
下秀祐,XIAXIUYOU
下里路,XIALI RD.
下坪,XIAPING
下坪仔,XIAPINGZAI
下坪路,XIAPING RD.
下店,XIADIAN
下東興,XIADONGXING
下林,XIALIN
下林坪,XIALINPING
下林頭,XIALINTOU
下社,XIASHE
下長,XIACHANG
下南,XIANAN
下南片,XIANANPIAN
下城街,XIACHENG ST.
下城路,XIACHENG RD.
下奎輝,XIAKUIHUI
下柑一巷,XIAGAN 1ST LN.
下柑二巷,XIAGAN 2ND LN.
下柑三巷,XIAGAN 3RD LN.
下柑四巷,XIAGAN 4TH LN.
下柑路,XIAGAN RD.
下泉路,XIAQUAN RD.
下洋仔,XIAYANGZAI
下洲子,XIAZHOUZI
下茄苳,XIAJIADONG
下茄埕,XIAJIACHENG
下面厝,XIAMIANCUO
下厝,XIACUO
下厝仔,XIACUOZAI
下厝坑,XIACUOKENG
下厝巷,XIACUO LN.
下厝街,XIACUO ST.
下厝路,XIACUO RD.
下員山路,XIAYUANSHAN RD.
下員坑,XIAYUANKENG
下員林,XIAYUANLIN
下埔,XIAPU
下埔下,XIAPUXIA
下埔尾,XIAPUWEI
下埔巷,XIAPU LN.
下埔頂,XIAPUDING
下埔路,XIAPU RD.
下宮,XIAGONG
下崁,XIAKAN
下崁子,XIAKANZI
下桂山,XIAGUISHAN
下柴路,XIACHAI RD.
下海湖,XIAHAIHU
下浮尾,XIAFUWEI
下紙寮坑,XIAZHILIAOKENG
下罟子,XIAGUZI
下馬,XIAMA
下高遶,XIAGAORAO
下埤,XIAPI
下埤路,XIAPI RD.
下埤頭,XIAPITOU
下崙,XIALUN
下崙路,XIALUN RD.
下清路,XIAQING RD.
下犁路,XIALI RD.
下莊,XIAZHUANG
下莊中興路,XIAZHUANGZHONGXING RD.
下莊光武路,XIAZHUANGGUANGWU RD.
下莊新生街,XIAZHUANGXINSHENG ST.
下蚶路,XIAHAN RD.
下鹿場路,XIALUCHANG RD.
下圍,XIAWEI
下堡,XIABAO
下揖子寮,XIAYIZILIAO
下湖,XIAHU
下湖一街,XIAHU 1ST ST.
下湖二街,XIAHU 2ND ST.
下湖街,XIAHU ST.
下湖路,XIAHU RD.
下菜園,XIACAIYUAN
下街,XIA ST.
下街仔,XIAJIEZAI
下湳,XIANAN
下湳巷,XIANAN LN.
下塘頭,XIATANGTOU
下塗溝,XIATUGOU
下塭路,XIAWEN RD.
下新店,XIAXINDIAN
下新厝,XIAXINCUO
下新厝農場,XIAXINCUO FARM
下溪,XIAXI
下溪心,XIAXIXIN
下溪巷,XIAXI LN.
下溪洲,XIAXIZHOU
下溪洲子,XIAXIZHOUZI
下路,SIA RD.
下過溪,XIAGUOXI
下部,XIABU
下部路,XIABU RD.
下福,XIAFU
下福東路,XIAFU E. RD.
下福路,XIAFU RD.
下賓朗,XIABINLANG
下康榔,XIAKANGLANG
下寮,XIALIAO
下寮子,XIALIAOZI
下寮仔,XIALIAOZAI
下寮巷,XIALIAO LN.
下寮路,XIALIAO RD.
下樟湖,XIAZHANGHU
下樟樹林,XIAZHANG SHULIN
下潭,XIATAN
下潭底,XIATANDI
下嗂溝,XIAYAOGOU
下蔦松,XIANIAOSONG
下橫坑,XIAHENGKENG
下橫坪,XIAHENGPING
下橫街,XIAHENG ST.
下橫街第一巷,"1ST LN., XIAHENG ST."
下橫街第二巷,"2ND LN., XIAHENG ST."
下橫街第三巷,"3TH LN., XIAHENG ST."
下橫街第四巷,"DI 4TH LN., XIAHENG ST."
下橫路,XIAHENG RD.
下樹林街,XIASHULIN ST.
下樹巷,XIASHU LN.
下橋二巷,XIAQIAO 2ND LN.
下橋三巷,XIAQIAO 3RD LN.
下橋四巷,XIAQIAO 4TH LN.
下橋五巷,XIAQIAO 5TH LN.
下橋六巷,XIAQIAO 6TH LN.
下橋頭,XIAQIAOTOU
下縣厝子,XIAXIANCUOZI
下興里山下,"SHANXIA, XIAXING VIL."
下興南,XIAXINGNAN
下頭圍,XIATOUWEI
下龍泉,XIALONGQUAN
下舊社,XIAJIUSHE
下霸路,XIABA RD.
下舊子埔,XIAJIUZIPU
下灣巷,XIAWAN LN.
下灣寶庄,XIAWANBAOZHUANG
上三屯,SHANGSANTUN
上三座屋,SHANGSANZUOWU
上三崙,SHANGSANLUN
上四湖,SHANGSIHU
上九寮,SHANGJIULIAO
上口巷,SHANGKOU LN.
上大,SHANGDA
上大一路,SHANGDA 1ST RD.
上大二路,SHANGDA 2ND RD.
上大三路,SHANGDA 3RD RD.
上大五路,SHANGDA 5TH RD.
上大山腳,SHANGDA SHANJIAU
上大湖,SHANGDAHU
上大溪,SHANGDAXI
上大窩,SHANGDAWO
上山,SHANGSHAN
上山一路,SHANGSHAN 1ST RD.
上山二路,SHANGSHAN 2ND RD.
上山三路,SHANGSHAN 3RD RD.
上山五路,SHANGSHAN 5TH RD.
上山六路,SHANGSHAN 6TH RD.
上山下,SHANGSHANXIA
上山村大山路,"DASHAN RD., SHANGSHAN VIL."
上山村中山路,"ZHONGSHAN RD., SHANGSHAN VIL."
上山路,SHANGSHAN RD.
上仁街,SHANGREN ST.
上內壢,SHANGNEILI
上雙坑,SHANGSHUANGKENG
上田心子,SHANGTIANXINZI
上田組,SHANGTIANZU
上田街,SHANGTIAN ST.
上石屯,SHANGSHITUN
上石路,SHANGSHI RD.
上石頭,SHANGSHITOU
上后垵,SHANGHOU'AN
上宇內,SHANGYUNEI
上安北街,SHANG'AN N. ST.
上安路,SHANG'AN RD.
上竹一街,SHANGZHU 1ST ST.
上竹二街,SHANGZHU 2ND ST.
上竹三街,SHANGZHU 3RD ST.
上竹四街,SHANGZHU 4TH ST.
上竹五街,SHANGZHU 5TH ST.
上竹六街,SHANGZHU 6TH ST.
上竹七街,SHANGZHU 7TH ST.
上竹巷,SHANGZHU LN.
上竹圍,SHANGZHUWEI
上竹路,SHANGZHU RD.
上庄一路,SHANGZHUANG 1ST RD.
上庄子,SHANGZHUANGZI
上庄巷,SHANGZHUANG LN.
上庄路,SHANGZHUANG RD.
上利路,SHANGLI RD.
上坑子口,SHANGKENGZIKOU
上杉路,SHANGSHAN RD.
上和路三段,"SEC. 3, SHANGHE RD."
上坪,SHANGPING
上坪街,SHANGPING ST.
上明一街,SHANGMING 1ST ST.
上明二街,SHANGMING 2ND ST.
上明三街,SHANGMING 3RD ST.
上東興,SHANGDONGXING
上林,SHANGLIN
上林街,SHANGLIN ST.
上林路頂部段,"SEC. DINGBU, SHANGLIN RD."
上林路路上段,"SEC. LUSHANG, SHANGLIN RD."
上河路一段,"SEC. 1, SHANGHE RD."
上河路二段,"SEC. 2, SHANGHE RD."
上青埔,SHANGQINGPU
上南片,SHANGNANPIAN
上城街,SHANGCHENG ST.
上城路,SHANGCHENG RD.
上奎輝,SHANGKUIHUI
上春路,SHANGCHUN RD.
上洲街,SHANGZHOU ST.
上茄苳,SHANGJIADONG
上厝巷,SHANGCUO LN.
上埔,SHANGPU
上埔里崎仔頭,"QIZAITOU, SHANGPU VIL."
上埔路,SHANGPU RD.
上庫,SHANGKU
上海一街,SHANGHAI 1ST ST.
上海二街,SHANGHAI 2ND ST.
上海西路,SHANGHAI W. RD.
上海東路,SHANGHAI E. RD.
上海巷,SHANGHAI LN.
上海街,SHANGHAI ST.
上海路,SHANGHAI RD.
上高義蘭,SHANGGAOYILAN
上高遶,SHANGGAORAO
上埤巷,SHANGPI LN.
上將路一段,"SEC. 1, SHANGJIANG RD."
上將路二段,"SEC. 2, SHANGJIANG RD."
上將路三段,"SEC. 3, SHANGJIANG RD."
上將路五段,"SEC. 5, SHANGJIANG RD."
上將路六段,"SEC. 6, SHANGJIANG RD."
上將路七段,"SEC. 7, SHANGJIANG RD."
上崙,SHANGLUN
上崙一街,SHANGLUN 1ST ST.
上崙街,SHANGLUN ST.
上清街,SHANGQING ST.
上蚶路,SHANGHAN RD.
上湖,SHANGHU
上湖一路,SHANGHU 1ST RD.
上湖二路,SHANGHU 2ND RD.
上湖三路,SHANGHU 3RD RD.
上湖五路,SHANGHU 5TH RD.
上湖坑,SHANGHUKENG
上發一路,SHANGFA 1ST RD.
上發二路,SHANGFA 2ND RD.
上發三路,SHANGFA 3RD RD.
上發五路,SHANGFA 5TH RD.
上發六路,SHANGFA 6TH RD.
上發八路,SHANGFA 8TH RD.
上隆路,SHANGLONG RD.
上順路,SHANGSHUN RD.
上新,SHANGXIN
上新街,SHANGXIN ST.
上新街中興巷,"ZHONGXING LN., SHANGXIN ST."
上溪洲,SHANGXIZHOU
上寧路,SHANGNING RD.
上福路,SHANGFU RD.
上康榔,SHANGKANGLANG
上墩北街,SHANGDUN N. ST.
上墩西街,SHANGDUN W. ST.
上墩東街,SHANGDUN E. ST.
上墩路,SHANGDUN RD.
上寮巷,SHANGLIAO LN.
上寮路,SHANGLIAO RD.
上樟路一段,"SEC. 1, SHANGZHANG RD."
上樟樹林,SHANGZHANG SHULIN
上橫坑,SHANGHENGKENG
上橫坪,SHANGHENGPING
上興街,SHANGXING ST.
上興街一段,"SEC. 1, SHANGXING ST."
上興街二段,"SEC. 2, SHANGXING ST."
上興路,SHANGXING RD.
上館,SHANGGUAN
上麒麟路,SHANGQILIN RD.
上彎,SHANGWAN
上灣,SHANGWAN
丸山,WANSHAN
丸山一路,WANSHAN 1ST RD.
丸山二路,WANSHAN 2ND RD.
丸山三路,WANSHAN 3RD RD.
丸山五路,WANSHAN 5TH RD.
丸山六路,WANSHAN 6TH RD.
丸山路,WANSHAN RD.
久安一街,JIU'AN 1ST ST.
久安二街,JIU'AN 2ND ST.
久安三街,JIU'AN 3RD ST.
久安五街,JIU'AN 5TH ST.
久安六街,JIU'AN 6TH ST.
久安七街,JIU'AN 7TH ST.
久安中路,JIU'AN CENTRAL RD.
久安北路,JIU'AN N. RD.
久安西路,JIU'AN W. RD.
久安東路,JIU'AN E. RD.
久安南路,JIU'AN S. RD.
久安路,JIU'AN RD.
久和路,JIUHE RD.
久居街,JIUJU ST.
久昌街,JIUCHANG ST.
久采,JIUCAI
久堂路,JIUTANG RD.
久堂路自強巷,"ZIQIANG LN., JIUTANG RD."
久堂路城隍巷,"CHENGHUANG LN., JIUTANG RD."
久堂路博愛巷,"BO'AI LN., JIUTANG RD."
久堂路湖底一巷,"HUDI 1ST LN., JIUTANG RD."
久堂路湖底二巷,"HUDI 2ND LN., JIUTANG RD."
久堂路湖底三巷,"HUDI 3RD LN., JIUTANG RD."
久堂路鐵路巷,"RAILWAY LN., JIUTANG RD."
久康街,JIUKANG ST.
久富,JIUFU
久福街,JIUFU ST.
久龍街,JIULONG ST.
千甲路,QIANJIA RD.
千光路,QIANGUANG RD.
千秋路,QIANQIU RD.
千富街,QIANFU ST.
千湖路,QIANHU RD.
千歲街,QIANSUI ST.
千歲路,QIANSUI RD.
千壽路,QIANSHOU RD.
千禧街,QIANXI ST.
千禧路,QIANXI RD.
口公館,KOUGONGGUAN
口庄,KOUZHUANG
口庄街,KOUZHUANG ST.
口庄路,KOUZHUANG RD.
口厝路,KOUCUO RD.
口埤,KOUPI
口湖子,KOUHUZI
口湖路,KOUHU RD.
口寮巷,KOULIAO LN.
口墻圍,KOUQIANGWEI
土牛,TUNIU
土牛溝,TUNIUGOU
土地公山,EARTH GOD MOUNTAIN
土地公坑,TUDIGONGKENG
土地公前,TUDIGONGQIAN
土地公後,TUDIGONGHOU
土地公埔,TUDIGONGPU
土地公嶺街,TUDIGONGLING ST.
土角巷,TUJIAO LN.
土豆寮,TUDOULIAO
土板,TUBAN
土板路,TUBAN RD.
土城中路,TUCHENG CENTRAL RD.
土城北路,TUCHENG N. RD.
土城西路,TUCHENG W. RD.
土城東路,TUCHENG E. RD.
土城南路,TUCHENG S. RD.
土城路,TUCHENG RD.
土庫,TUKU
土庫一街,TUKU 1ST ST.
土庫一路,TUKU 1ST RD.
土庫二街,TUKU 2ND ST.
土庫二路,TUKU 2ND RD.
土庫三街,TUKU 3RD ST.
土庫三路,TUKU 3RD RD.
土庫五街,TUKU 5TH ST.
土庫五路,TUKU 5TH RD.
土庫六街,TUKU 6TH ST.
土庫六路,TUKU 6TH RD.
土庫七街,TUKU 7TH ST.
土庫八街,TUKU 8TH ST.
土庫子,TUKUZI
土庫北路,TUKU N. RD.
土庫尖路,TUKUJIAN RD.
土庫路,TUKU RD.
土崎,TUQI
土圍路,TUWEI RD.
土場巷,TUCHANG LN.
土溝,TUGOU
土葛路,TUGE RD.
土壟,TULONG
士文路,SHIWEN RD.
士宏新村,SHIHONG NEW VIL.
士良街,SHILIANG ST.
士東街,SHIDONG ST.
士東路,SHIDONG RD.
士林一街,SHILIN 1ST ST.
士林二街,SHILIN 2ND ST.
士林北路,SHILIN N. RD.
士林西路,SHILIN W. RD.
士林東路,SHILIN E. RD.
士林街,SHILIN ST.
士香街,SHIXIANG ST.
士校路,SHIXIAO RD.
士商路,SHISHANG RD.
士賢街,SHIXIAN ST.
夕泉一巷,XIQUAN 1ST LN.
夕泉二巷,XIQUAN 2ND LN.
大山,DASHAN
大山一路,DASHAN 1ST RD.
大山二路,DASHAN 2ND RD.
大山巷,DASHAN LN.
大山背,DASHANBEI
大山腳,DASHANJIAO
大山街,DASHAN ST.
大山路,DASHAN RD.
大川巷,DACHUAN LN.
大川街,DACHUAN ST.
大工路,DAGONG RD.
大中一街,DAZHONG 1ST ST.
大中一路,DAZHONG 1ST RD.
大中二路,DAZHONG 2ND RD.
大中山,DAZHONGSHAN
大中街,DAZHONG ST.
大中路,DAZHONG RD.
大中寮,DAZHONGLIAO
大井,DAJING
大仁一街,DAREN 1ST ST.
大仁二街,DAREN 2ND ST.
大仁三街,DAREN 3RD ST.
大仁四街,DAREN 4TH ST.
大仁五街,DAREN 5TH ST.
大仁六街,DAREN 6TH ST.
大仁七街,DAREN 7TH ST.
大仁八街,DAREN 8TH ST.
大仁九街,DAREN 9TH ST.
大仁十街,DAREN 10TH ST.
大仁北路,DAREN N. RD.
大仁西街,DAREN W. ST.
大仁東街,DAREN E. ST.
大仁東路,DAREN E. RD.
大仁南街,DAREN S. ST.
大仁南路,DAREN S. RD.
大仁街,DAREN ST.
大仁路,DAREN RD.
大仁路一段,"SEC. 1, DAREN RD."
大仁路二段,"SEC. 2, DAREN RD."
大仁路四段,"SEC. 4, DAREN RD."
大元路,DAYUAN RD.
大公三街,DAGONG 3RD ST.
大公五街,DAGONG 5TH ST.
大公六街,DAGONG 6TH ST.
大公七街,DAGONG 7TH ST.
大公八街,DAGONG 8TH ST.
大公十街,DAGONG 10TH ST.
大公十二街,DAGONG 12TH ST.
大公十三街,DAGONG 13TH ST.
大公十四街,DAGONG 14TH ST.
大公十五街,DAGONG 15TH ST.
大公十六街,DAGONG 16TH ST.
大公十七街,DAGONG 17TH ST.
大公十八街,DAGONG 18TH ST.
大公十九街,DAGONG 19TH ST.
大公二十街,DAGONG 20TH ST.
大公二十一街,DAGONG 21ST ST.
大公街,DAGONG ST.
大公路,DAGONG RD.
大分林,DAFENLIN
大孔尾,DAKONGWEI
大屯,DATUN
大屯路,DATUN RD.
大屯路光華一巷,"GUANGHUA 1ST LN., DATUN RD."
大屯路光華二巷,"GUANGHUA 2ND LN., DATUN RD."
大屯路光華三巷,"GUANGHUA 3RD LN., DATUN RD."
大屯路光華四巷,"GUANGHUA 4TH LN., DATUN RD."
大屯寮,DATUNLIAO
大方街,DAFANG ST.
大方新村,DAFANG NEW VIL.
大水堀,DASHUIKU
大水湳路,DASHUINAN RD.
大水窟,DASHUIKU
大火房街,DAHUOFANG ST.
大片田,DAPIANTIAN
大片田尾,DAPIAN TIANWEI
大片頭,DAPIANTOU
大牛稠,DANIUCHOU
大牛欄,DANIULAN
大王路,DAWANG RD.
大丘田,DAQIUTIAN
大丘園,DAQIUYUAN
大功街,DAGONG ST.
大功路,DAGONG RD.
大北,DABEI
大北坑,DABEIKENG
大北坑街,DABEIKENG ST.
大北坑街一段,"SEC. 1, DABEIKENG ST."
大北勢,DABEISHI
大北路,DABEI RD.
大占巷,DAZHAN LN.
大古崗,DAGUGANG
大古路,DAGU RD.
大平,DAPING
大平地,DAPINGDI
大平巷,DAPING LN.
大平街,DAPING ST.
大平路,DAPING RD.
大平窩,DAPINGWO
大弘一街,DAHONG 1ST ST.
大弘二街,DAHONG 2ND ST.
大弘三街,DAHONG 3RD ST.
大弘四街,DAHONG 4TH ST.
大弘五街,DAHONG 5TH ST.
大弘六街,DAHONG 6TH ST.
大弘街,DAHONG ST.
大正一街,DAZHENG 1ST ST.
大正二街,DAZHENG 2ND ST.
大正三街,DAZHENG 3RD ST.
大正四街,DAZHENG 4TH ST.
大正五街,DAZHENG 5TH ST.
大正街,DAZHENG ST.
大正路,DAZHENG RD.
大民北路,DAMIN N. RD.
大民街,DAMIN ST.
大永路,DAYONG RD.
大生路,DASHENG RD.
大甲街,DAJIA ST.
大白沙,DABAISHA
大石巷,DASHI LN.
大份田,DAFENTIAN
大光一街,DAGUANG 1ST ST.
大光二街,DAGUANG 2ND ST.
大光巷,DAGUANG LN.
大光街,DAGUANG ST.
大光路,DAGUANG RD.
大全一巷,DAQUAN 1ST LN.
大全二巷,DAQUAN 2ND LN.
大全街,DAQUAN ST.
大吉一街,DAJI 1ST ST.
大吉一路,DAJI 1ST RD.
大吉二街,DAJI 2ND ST.
大吉二路,DAJI 2ND RD.
大吉三路,DAJI 3RD RD.
大吉五路,DAJI 5TH RD.
大吉街,DAJI ST.
大吉路,DAJI RD.
大同,DATONG
大同一巷,DATONG 1ST LN.
大同一街,DATONG 1ST ST.
大同一路,DATONG 1ST RD.
大同二巷,DATONG 2ND LN.
大同二街,DATONG 2ND ST.
大同二路,DATONG 2ND RD.
大同三街,DATONG 3RD ST.
大同四街,DATONG 4TH ST.
大同五街,DATONG 5TH ST.
大同六街,DATONG 6TH ST.
大同七街,DATONG 7TH ST.
大同八街,DATONG 8TH ST.
大同九街,DATONG 9TH ST.
大同十街,DATONG 10TH ST.
大同十一街,DATONG 11TH ST.
大同十二街,DATONG 12TH ST.
大同十三街,DATONG 13TH ST.
大同十五街,DATONG 15TH ST.
大同十七街,DATONG 17TH ST.
大同十九街,DATONG 19TH ST.
大同北路,DATONG N. RD.
大同西巷,DATONG W. LN.
大同西路,DATONG W. RD.
大同東巷,DATONG E. LN.
大同東路,DATONG E. RD.
大同南巷,DATONG S. LN.
大同南街,DATONG S. ST.
大同南路,DATONG S. RD.
大同巷,DATONG LN.
大同莊,DATONG VIL.
大同街,DATONG ST.
大同街明光巷,"MINGGUANG LN., DATONG ST."
大同街賢德巷,"XIANDE LN., DATONG ST."
大同新村,DATONG NEW VIL.
大同新城,DATONG XINCHENG
大同路,DATONG RD.
大同路一段,"SEC. 1, DATONG RD."
大同路二段,"SEC. 2, DATONG RD."
大同路二段東興巷,"DONGXING LN., SEC. 2, DATONG RD."
大同路二段南一巷,"S. 1ST LN., SEC. 2, DATONG RD."
大同路二段南二巷,"S. 2ND LN., SEC. 2, DATONG RD."
大同路二段福泉巷,"FUQUAN LN., SEC. 2, DATONG RD."
大同路三段,"SEC. 3, DATONG RD."
大同路三段榮和巷,"RONGHE LN., SEC. 3, DATONG RD."
大同路四段,"SEC. 4, DATONG RD."
大同路四段東金巷,"DONGJIN LN., SEC. 4, DATONG RD."
大同路五段,"SEC. 5, DATONG RD."
大同路大榮巷,"DARONG LN., DATONG RD."
大同路世居巷,"SHIJU LN., DATONG RD."
大同路市場巷,"SHICHANG LN., DATONG RD."
大同路立峰巷,"LIFENG LN., DATONG RD."
大同路地下商場,"UNDERGROUND SHOPPING MALL, DATONG RD."
大同路安南巷,"ANNAN LN., DATONG RD."
大同路竹林巷,"ZHULIN LN., DATONG RD."
大同路和平巷,"HEPING LN., DATONG RD."
大同路東巷,"E. LN., DATONG RD."
大同路雅園巷,"YAYUAN LN., DATONG RD."
大同路裕農巷,"YUNONG LN., DATONG RD."
大同路學府巷,"XUEFU LN., DATONG RD."
大同路館華巷,"GUANHUA LN., DATONG RD."
大同農場,DATONG FARM
大圳巷,DAZUN LN.
大圳路,DAZUN RD.
大圳路一段,"SEC. 1, DAZUN RD."
大圳路二段,"SEC. 2, DAZUN RD."
大圳路三段,"SEC. 3, DAZUN RD."
大地,DADI
大地街,DADI ST.
大宅仔,DAZHAIZAI
大宅北街,DAZHAI N. ST.
大宅巷,DAZHAI LN.
大宅街,DAZHAI ST.
大安,DA'AN
大安一街,DA'AN 1ST ST.
大安一路,DA'AN 1ST RD.
大安二路,DA'AN 2ND RD.
大安三街,DA'AN 3RD ST.
大安五街,DA'AN 5TH ST.
大安六街,DA'AN 6TH ST.
大安八街,DA'AN 8TH ST.
大安西街,DA'AN W. ST.
大安港路,DA'ANGANG RD.
大安街,DA'AN ST.
大安路,DA'AN RD.
大安路一段,"SEC. 1, DA'AN RD."
大安路二段,"SEC. 2, DA'AN RD."
大安路三段,"SEC. 3, DA'AN RD."
大成一巷,DACHENG 1ST LN.
大成一街,DACHENG 1ST ST.
大成二巷,DACHENG 2ND LN.
大成二街,DACHENG 2ND ST.
大成三巷,DACHENG 3RD LN.
大成三街,DACHENG 3RD ST.
大成五巷,DACHENG 5TH LN.
大成五街,DACHENG 5TH ST.
大成六街,DACHENG 6TH ST.
大成七街,DACHENG 7TH ST.
大成八街,DACHENG 8TH ST.
大成九街,DACHENG 9TH ST.
大成十街,DACHENG 10TH ST.
大成十一街,DACHENG 11TH ST.
大成十二街,DACHENG 12TH ST.
大成十三街,DACHENG 13TH ST.
大成十四街,DACHENG 14TH ST.
大成十五街,DACHENG 15TH ST.
大成十六街,DACHENG 16TH ST.
大成十七街,DACHENG 17TH ST.
大成十八街,DACHENG 18TH ST.
大成十九街,DACHENG 19TH ST.
大成市場,DACHENG MARKET
大成南路,DACHENG S. RD.
大成街,DACHENG ST.
大成路,DACHENG RD.
大成路一段,"SEC. 1, DACHENG RD."
大成路二段,"SEC. 2, DACHENG RD."
大成路安南巷,"ANNAN LN., DACHENG RD."
大有,DAYOU
大有一街,DAYOU 1ST ST.
大有二街,DAYOU 2ND ST.
大有三街,DAYOU 3RD ST.
大有四街,DAYOU 4TH ST.
大有五街,DAYOU 5TH ST.
大有西街,DAYOU W. ST.
大有東街,DAYOU E. ST.
大有街,DAYOU ST.
大有路,DAYOU RD.
大池角,DACHIJIAO
大竹,DAZHU
大竹一街,DAZHU 1ST ST.
大竹二街,DAZHU 2ND ST.
大竹北路,DAZHU N. RD.
大竹坑,DAZHUKENG
大竹林,DAZHULIN
大竹南路,DAZHU S. RD.
大竹圍,DAZHUWEI
大竹圍路,DAZHUWEI RD.
大竹路,DAZHU RD.
大竹路水坑巷,"SHUIKENG LN., DAZHU RD."
大竹路國中巷,"GUOZHONG LN., DAZHU RD."
大老巷,DALAO LN.
大舌湖,DASHEHU
大行街,DAXING ST.
大西一街,DAXI 1ST ST.
大西二街,DAXI 2ND ST.
大西路,DAXI RD.
大庄,DAZHUANG
大庄村中山巷,"ZHONGSHAN LN., DAZHUANG VIL."
大庄村中橫巷,"ZHONGHENG LN., DAZHUANG VIL."
大庄村新生巷,"XINSHENG LN., DAZHUANG VIL."
大庄路,DAZHUANG RD.
大亨街,DAHENG ST.
大亨路,DAHENG RD.
大佃路,DADIAN RD.
大利一路,DALI 1ST RD.
大利二路,DALI 2ND RD.
大利三路,DALI 3RD RD.
大利街,DALI ST.
大利幹,DALIGAN
大利新村,DALI NEW VIL.
大利路,DALI RD.
大利路一段,"SEC. 1, DALI RD."
大利路二段,"SEC. 2, DALI RD."
大利路三段,"SEC. 3, DALI RD."
大坑,DAKENG
大坑一路,DAKENG 1ST RD.
大坑二路,DAKENG 2ND RD.
